"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Trinidad and Tobago","6982.488","7867.894","8531.786","7826.559","7530.077","7351.412","7173.281","6949.895","6857.744","7016.735","7339.191","7772.724","8698.625","8795.918","9260.103","9777.899","10638.926","11615.377","12681.708","13872.709","15122.942","15969.785","17306.709","19975.139","21904.241","23800.247","27867.754","29699.578","31129.413","29707.562","30924.83","31320.799","30063.321","30059.723","29698.566","27397.264","26389.706","26342.582","26880.566","26920.092","25031.373","25882.832","27417.003","28484.492","29360.683","30235.672","31118.729"
"Tunisia","2134.38","2397.777","2473.426","2627.948","2845.768","3003.09","2906.013","3110.905","3168.98","3318.386","3575.643","3765.003","4069.51","4180.84","4340.184","4471.004","4790.29","5081.542","5328.338","5668.255","5984.619","6291.931","6424.388","6799.459","7360.223","7788.092","8367.001","9077.478","9544.935","9802.572","10151.055","10049.582","10179.904","10174.497","10370.413","10123.891","10269.109","10467.261","10889.633","11074.953","10119.767","10594.076","10996.166","11370.251","11725.617","12072.878","12427.139"
"Turkey","3520.143","3930.871","4219.607","4491.213","4863.235","5122.136","5477.081","6057.814","6287.244","6434.246","7167.141","7352.867","7840.279","8532.721","8110.035","8738.928","9378.889","10107.051","10388.102","10049.431","10831.688","10293.826","10997.018","11708.294","13041.567","14476.046","15751.504","16784.381","17025.722","16093.163","17374.442","19459.771","20504.429","22221.39","23945.523","25691.067","26513.617","28242.491","29343.147","29723.533","30252.675","32278.161","33764.016","35326.899","36929.741","38560.897","40236.065"
"Turkmenistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3010.623","2746.03","2260.787","2094.692","1952.977","1734.405","1846.191","2155.3","2582.858","3142.568","3656.756","4316.496","5031.096","5801.361","6558.176","7391.793","8542.566","9022.912","9808.91","11295.001","12057.36","12739.415","13491.202","13690.579","13911.276","14324.562","15415.93","16437.758","16520.714","17415.266","18314.183","19271.173","20234.289","21203.115","22182.953"
"Tuvalu","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2617.416","2550.311","2542.239","2481.429","2596.903","2799.769","3017.777","2877.968","2779.014","3010.292","2911.279","3075.148","3156.638","3467.305","3695.453","3922.614","4128.364","4437.182","4497.236","4674.381","4928.87","5210.098","5508.419","5820.026","6142.095"
"Uganda","526.047","580.338","647.005","683.959","665.808","644.285","640.487","658.189","711.161","758.053","808.093","821.106","861.026","909.408","968.414","1046.094","1098.954","1133.086","1178.687","1250.296","1285.592","1384.117","1456.681","1520.3","1596.284","1751.815","1868.086","2003.306","2178.552","2294.273","2415.284","2569.511","2372.961","2395.126","2440.641","2388.163","2355.777","2382.081","2508.287","2689.091","2573.998","2705.953","2820.691","2954.491","3118.898","3303.929","3475.961"
"Ukraine","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6955.574","6389.757","5629.126","4468.587","4039.251","3736.714","3718.584","3720.912","3800.057","4152.378","4657.324","5025.273","5649.869","6533.649","6998.2","7805.286","8723.528","9134.108","7844.84","8295.048","8959.21","9388.766","10749.363","10804.267","10224.946","11215.911","11942.821","12716.261","13442.094","13109.593","13943.472","14802.548","15715.585","16720.978","17802.9","18938.279"
"United Arab Emirates","89172.415","96814.27","89698.563","85398.677","85363.264","81488.101","64314.662","66624.881","56283.535","65144.869","84231.505","85091.838","85999.365","84969.603","87031.56","87593.407","92729.904","96959.601","89969.145","88478.97","102897.997","100720.886","99152.131","103642.765","110114.081","109065.159","101096.241","86373.974","70007.302","65822.304","67123.379","71140.346","72048.758","71676.418","72926.149","62748.473","60756.115","62864.043","63320.393","63589.803","58753.003","59844.372","60919.826","62005.827","63009.951","63952.503","64854.902"
"United Kingdom","8786.689","9546.662","10348.655","11200.289","11845.182","12691.101","13323.836","14359.222","15686.797","16674.902","17376.89","17704.262","18134.279","18983.738","20083.3","20964.401","21827.89","23249.082","24315.367","25388.523","26773.966","28000.258","28939.114","30317.285","31679.002","33373.458","35069.369","36565.79","36869.427","35372.143","36236.081","37154.158","38296.706","39945.103","41292.497","42583.077","44121.079","45923.363","47331.198","48603.041","44116.865","47089.266","50366.559","52315.716","54143.17","55868.279","57551.657"
"United States","12552.943","13948.701","14404.994","15513.679","17086.441","18199.32","19034.766","20000.968","21375.999","22814.077","23847.977","24302.776","25392.931","26364.192","27674.021","28671.48","29946.973","31440.087","32833.666","34494.539","36317.741","37101.103","37971.28","39411.546","41629.858","44025.56","46213.508","47869.24","48283.413","47007.674","48403.297","49829.055","51563.133","53071.818","55024.658","56848.51","58017.227","60105.846","63055.979","65253.518","63415.985","68308.968","71895.79","74130.272","76362.217","78660.268","80958.76"
"Uruguay","4622.921","5121.25","4898.038","4891.375","4980.661","5181.071","5721.145","6292.372","6570.938","6865.809","7104.686","7560.914","8296.82","8667.108","9407.696","9407.121","10051.276","10618.074","11108.751","10857.917","10859.44","10706.096","10123.163","10577.282","11355.733","12465.535","13346.667","14598.321","15929.988","16658.168","18067.724","19306.766","19489.135","20475.347","21491.937","21614.468","22092.549","22637.312","23206.708","23614.453","22459.484","23474.285","24667.035","25811.376","26940.619","28015.496","29110.655"
"Uzbekistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2181.552","2132.671","2025.103","2012.176","2100.315","2178.264","2262.989","2360.095","2514.286","2642.233","2757.755","2891.017","3153.875","3437.78","3765.291","4178.008","4572.565","4897.2","5226.784","5529.789","5755.175","5991.868","6212.003","6399.665","6508.637","6573.216","6981.101","7382.387","7449.334","7830.497","8288.137","8792.148","9308.009","9843.933","10405.276"
"Vanuatu","945.07","1043.452","1093.12","1142.259","1256.915","1261.14","1247.649","1223.895","1211.223","1269.258","1450.905","1516.442","1560.092","1578.072","1680.521","1689.087","1715.463","1784.281","1779.319","1765.79","1869.482","1804.326","1698.76","1763.212","1840.551","1953.63","2134.056","2203.627","2319.021","2356.746","2356.782","2425.718","2441.069","2439.432","2504.647","2480.821","2587.201","2739.302","2821.537","2889.222","2585.77","2646.053","2757.145","2852.325","2926.846","2999.936","3057.993"
"Venezuela","7956.187","8341.263","8828.539","8043.06","8529.152","8634.399","9231.814","9671.582","10403.977","9084.966","9710.368","10756.297","11399.866","11439.07","11158.041","11587.44","11528.285","12222.319","12153.175","11365.28","11651.864","12108.685","11029.012","10196.799","12190.675","13651.344","15215.193","16733.324","17689.34","16997.267","16690.798","17493.729","18562.11","18871.023","18214.898","17011.283","14217.124","12323.369","10683.193","7344.079","5178.267","no data","no data","no data","no data","no data","no data"
"Vietnam","538.768","611.182","688.273","751.699","828.368","885.358","914.961","940.191","1003.656","1102.248","1152.485","1237.696","1351.758","1469.918","1606.702","1767.667","1936.918","2097.948","2209.687","2313.631","2492.097","2686.008","2883.519","3123.29","3425.529","3763.925","4109.951","4478.802","4778.339","5025.205","5356.464","5826.158","6400.242","6762.711","7281.166","7635.282","8316.211","9085.612","9857.425","10535.168","10868.858","11676.578","12684.292","13750.549","14869.693","16038.112","17287.882"
"West Bank and Gaza","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2146.247","2190.049","2130.591","2349.152","2632.42","2803.064","2542.347","2292.278","1982.94","2240.806","2729.143","3041.975","3013.576","3119.198","3325.253","3544.536","3697.478","4035.484","4720.42","4825.991","5192.039","5612.253","5944.744","6025.007","6090.131","6128.446","5388.159","5664.344","6055.097","6281.816","6421.19","6535.739","6649.785"
"Yemen","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2004.327","2102.659","2216.871","2248.735","2341.706","2423.6","2488.057","2574.774","2674.366","2730.095","2873.369","2954.291","3023.016","3095.952","3203.662","3380.85","3485.983","3588.359","3678.038","3734.09","3950.062","3417.319","3300.97","3479.196","3433.884","2423.415","2154.623","2025.071","2032.389","2056.586","1927.331","1924.16","1969.636","2106.716","2241.313","2372.662","2497.68"
"Zambia","1322.897","1494.898","1493.099","1487.152","1469.162","1489.281","1500.053","1514.693","1663.298","1615.745","1615.72","1609.931","1631.767","1622.098","1393.797","1426.915","1503.119","1544.762","1514.251","1564.666","1618.649","1697.827","1757.262","1866.288","1998.828","2151.861","2326.907","2516.438","2685.546","2869.537","3107.83","3249.598","3348.124","3503.855","3467.109","3360.018","3332.669","3407.306","3520.627","3526.397","3341.987","3322.248","3332.675","3354.826","3377.588","3396.795","3413.599"
"Zimbabwe","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2443.675","2458.117","2413.122","2461.169","2313.644","1972.851","1884.358","1783.797","1745.864","1727.484","1463.897","1569.906","1883.864","2175.204","2385.755","2545.64","2576.281","2642.32","2700.819","2965.868","3099.313","2869.348","2621.82","2697.701","2810.254","2882.328","2958.324","3034.855","3112.629"
